"municipality","party","year","support"
70,4,1979,0.43916256158
70,4,1983,0.33702978908
70,4,1987,0.36384180791
70,4,1991,0.33628066172
70,4,1995,0.39570595763
70,4,1999,0.43091952241
70,4,2003,0.50258714597
70,4,2007,0.53804083617
70,4,2011,0.51225174104
71,4,1971,0.3982400138
71,4,1975,0.40769610261
71,4,1979,0.4024889192
71,4,1983,0.35677926886
71,4,1987,0.38075077618
71,4,1991,0.3887151692
71,4,1995,0.45795620438
71,4,1999,0.4981782047
71,4,2003,0.51758763389
71,4,2007,0.48529722869
71,4,2011,0.41524812864
72,4,1971,0.34424222639
72,1,1975,0.28803816047
72,4,1979,0.32537049325
72,1,1983,0.34538027794
72,1,1987,0.29781071321
72,4,1991,0.27417943107
72,4,1995,0.27018589471
72,4,1999,0.41232188452
72,4,2003,0.41854974705
72,4,2007,0.42643430324
72,4,2011,0.40009048409
81,4,1971,0.77832270721
81,4,1975,0.66839876828
81,4,1979,0.72202350537
81,4,1983,0.45322434151
81,4,1987,0.52009061643
81,4,1991,0.46050618011
81,4,1995,0.51217150761
81,4,1999,0.62559909783
81,4,2003,0.54321620928
81,4,2007,0.55098473371
81,4,2011,0.52506836828
82,4,1971,0.46006980086
82,4,1975,0.35428956683
82,4,1979,0.28301297078
82,4,1983,0.30871712415
82,4,1987,0.30379501116
82,4,1991,0.43910478834
82,4,1995,0.40097124357
82,4,1999,0.43742621015
82,4,2003,0.40360161705
82,4,2007,0.39784617267
82,4,2011,0.37085738085
83,4,1971,0.34524935004
83,4,1975,0.34292020139
83,4,1979,0.39585783353
83,4,1983,0.29654501667
83,4,1987,0.24326213592
83,4,1991,0.32073629898
83,4,1995,0.32560217416
83,4,1999,0.44702683456
83,4,2003,0.45143115396
83,4,2007,0.4663407296
83,4,2011,0.41057902442
84,4,1971,0.33882543212
84,4,1975,0.26486633933
84,4,1979,0.28266609577
84,4,1983,0.23572539436
84,4,1987,0.24648849538
84,4,1991,0.29136220663
84,4,1995,0.3055747096
84,4,1999,0.45416997617
84,4,2003,0.48592767296
84,4,2007,0.50405655614
84,4,2011,0.46074946684
85,4,1971,0.3836180284
85,4,1975,0.36555446516
85,4,1979,0.36113778205
85,4,1983,0.27817540861
85,4,1987,0.34235552304
85,4,1991,0.35036692321
85,4,1995,0.36081021576
85,4,1999,0.45193282178
85,4,2003,0.47168173599
85,4,2007,0.47376219286
85,4,2011,0.43497813097
86,4,1971,0.1880733945
86,3,1975,0.19334172715
86,1,1979,0.24626918453
86,1,1983,0.2058203415
86,1,1987,0.19454210203
86,4,1991,0.22836068042
86,4,1995,0.29418973041
86,4,1999,0.39685539759
86,4,2003,0.36505798934
86,4,2007,0.39313259837
86,4,2011,0.37815162114
87,4,1971,0.3818707811
87,4,1975,0.30324675325
87,4,1979,0.4305200341
87,4,1983,0.39893390192
87,4,1987,0.36588306209
87,4,1991,0.48093180537
87,4,1995,0.53220951234
87,4,1999,0.63147255481
87,4,2003,0.59794854549
87,4,2007,0.63368777932
87,4,2011,0.60267136357
88,4,1971,0.45099211093
88,4,1975,0.4115309988
88,4,1979,0.38441537977
88,4,1983,0.33222410866
88,4,1987,0.28287477241
88,4,1991,0.33899668717
88,4,1995,0.41456117021
88,4,1999,0.48976395997
